tasks,Freq
ALFW_ALST_AM,0
ALFW_ALST_AM2m,0
ALFW_ALST_AM2mG,0
ALFW_ALST_AM2N,0
ALFW_ALST_AM2N2m,0
ALFW_ALST_AM2N2mG,0
ALFW_ALST_AM2NG,0
ALFW_ALST_AMG,0
ALFW_ALST_IM,0
ALFW_ALST_IM2m,0
ALFW_ALST_IM2N,0
ALFW_ALST_IM2NG,0
ALFW_ALST_IMG,0
ALFW_ALST_SC,0
ALFW_ALST_SC2m,0
ALFW_ALST_SC2mG,0
ALFW_ALST_SC2N,0
ALFW_ALST_SC2N2m,0
ALFW_ALST_SC2N2mG,0
ALFW_ALST_SC2NG,0
ALFW_ALST_SCG,0
ALFW_ALST_SI,0
ALFW_ALST_SI2N,0
ALFW_ALST_SI2NG,0
ALFW_ALST_SIG,0
ALFW_LAFW_AM,0
ALFW_LAFW_AM2m,0
ALFW_LAFW_AM2mG,0
ALFW_LAFW_AM2N,0
ALFW_LAFW_AM2N2m,0
ALFW_LAFW_AM2N2mG,0
ALFW_LAFW_AM2NG,0
ALFW_LAFW_AMG,0
ALFW_LAFW_IM,0
ALFW_LAFW_IM2m,0
ALFW_LAFW_IM2N,0
ALFW_LAFW_IM2NG,0
ALFW_LAFW_IMG,0
ALFW_LAFW_SC,0
ALFW_LAFW_SC2m,0
ALFW_LAFW_SC2mG,0
ALFW_LAFW_SC2N,0
ALFW_LAFW_SC2N2m,0
ALFW_LAFW_SC2N2mG,0
ALFW_LAFW_SC2NG,0
ALFW_LAFW_SCG,0
ALFW_LAFW_SI,0
ALFW_LAFW_SI2N,0
ALFW_LAFW_SI2NG,0
ALFW_LAFW_SIG,0
ALFW_TXCC_AM,0
ALFW_TXCC_AM2m,0
ALFW_TXCC_AM2mG,0
ALFW_TXCC_AM2N,0
ALFW_TXCC_AM2N2m,0
ALFW_TXCC_AM2N2mG,0
ALFW_TXCC_AM2NG,0
ALFW_TXCC_AMG,0
ALFW_TXCC_IM,0
ALFW_TXCC_IM2m,0
ALFW_TXCC_IM2N,0
ALFW_TXCC_IM2NG,0
ALFW_TXCC_IMG,0
ALFW_TXCC_SC,0
ALFW_TXCC_SC2m,0
ALFW_TXCC_SC2mG,0
ALFW_TXCC_SC2N,0
ALFW_TXCC_SC2N2m,0
ALFW_TXCC_SC2N2mG,0
ALFW_TXCC_SC2NG,0
ALFW_TXCC_SCG,0
ALFW_TXCC_SI,0
ALFW_TXCC_SI2N,0
ALFW_TXCC_SI2NG,0
ALFW_TXCC_SIG,0
ALFW_TXFW_AM,0
ALFW_TXFW_AM2m,0
ALFW_TXFW_AM2mG,0
ALFW_TXFW_AM2N,0
ALFW_TXFW_AM2N2m,0
ALFW_TXFW_AM2N2mG,0
ALFW_TXFW_AM2NG,0
ALFW_TXFW_AMG,0
ALFW_TXFW_IM,0
ALFW_TXFW_IM2m,0
ALFW_TXFW_IM2N,0
ALFW_TXFW_IM2NG,0
ALFW_TXFW_IMG,0
ALFW_TXFW_SC,0
ALFW_TXFW_SC2m,0
ALFW_TXFW_SC2mG,0
ALFW_TXFW_SC2N,0
ALFW_TXFW_SC2N2m,0
ALFW_TXFW_SC2N2mG,0
ALFW_TXFW_SC2NG,0
ALFW_TXFW_SCG,0
ALFW_TXFW_SI,0
ALFW_TXFW_SI2N,0
ALFW_TXFW_SI2NG,0
ALFW_TXFW_SIG,0
ALST_LAFW_AM,0
ALST_LAFW_AM2m,0
ALST_LAFW_AM2mG,0
ALST_LAFW_AM2N,0
ALST_LAFW_AM2N2m,0
ALST_LAFW_AM2N2mG,0
ALST_LAFW_AM2NG,0
ALST_LAFW_AMG,0
ALST_LAFW_IM,0
ALST_LAFW_IM2m,0
ALST_LAFW_IM2N,0
ALST_LAFW_IM2NG,0
ALST_LAFW_IMG,0
ALST_LAFW_SC,0
ALST_LAFW_SC2m,0
ALST_LAFW_SC2mG,0
ALST_LAFW_SC2N,0
ALST_LAFW_SC2N2m,0
ALST_LAFW_SC2N2mG,0
ALST_LAFW_SC2NG,0
ALST_LAFW_SCG,0
ALST_LAFW_SI,0
ALST_LAFW_SI2N,0
ALST_LAFW_SI2NG,0
ALST_LAFW_SIG,0
ALST_TXCC_AM,0
ALST_TXCC_AM2m,0
ALST_TXCC_AM2mG,0
ALST_TXCC_AM2N,0
ALST_TXCC_AM2N2m,0
ALST_TXCC_AM2N2mG,0
ALST_TXCC_AM2NG,0
ALST_TXCC_AMG,0
ALST_TXCC_IM,0
ALST_TXCC_IM2m,0
ALST_TXCC_IM2N,0
ALST_TXCC_IM2NG,0
ALST_TXCC_IMG,0
ALST_TXCC_SC,0
ALST_TXCC_SC2m,0
ALST_TXCC_SC2mG,0
