	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		0.561776	0.530283	0.341047	0.613387	0.345474	0.763708	0.18959	0.455016	0.384356	0.560764	0.748985
FLPB			0.636705	0.448631	0.709637	0.453159	0.83162	0.273151	0.565013	0.494266	0.652922	0.820458
TXSP				0.415724	0.684458	0.420185	0.81515	0.243887	0.53381	0.461594	0.632225	0.8031
ALST					0.502147	0.247743	0.674356	0.124854	0.344497	0.28088	0.458784	0.656001
FLAB						0.506623	0.858989	0.318489	0.616465	0.547636	0.697238	0.849394
FLCC							0.677996	0.127668	0.348892	0.285041	0.461714	0.65976
FLFD								0.493924	0.765887	0.712373	0.816905	0.918876
FLHB									0.192305	0.148605	0.301282	0.471758
FLSG										0.387871	0.562714	0.751317
FLSI											0.499436	0.69543
TXCB												0.806844
