	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		0.277708	0.163949	0.171294	0.500012	0.197161	0.811435	0.110767	0.268194	0.244061	0.638321	0.213178
FLPB			0.162335	0.169527	0.494169	0.194905	0.807076	0.11017	0.264703	0.240931	0.633056	0.210824
TXSP				0.091826	0.339283	0.108067	0.693311	0.0558559	0.154903	0.138248	0.483464	0.119198
ALST					0.350778	0.113346	0.703695	0.058904	0.161931	0.144712	0.495444	0.12482
FLAB						0.389006	0.912733	0.250791	0.483782	0.453754	0.810261	0.410092
FLCC							0.735293	0.070382	0.186769	0.167729	0.534069	0.145066
FLFD								0.601214	0.801493	0.782581	0.945769	0.750236
FLHB									0.104159	0.0918026	0.385789	0.0788335
FLSG										0.231965	0.623717	0.202282
FLSI											0.596344	0.182327
TXCB												0.554793
