	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		0.0104885	0.0087038	0.00862469	0.0110977	0.00893769	0.0114204	0.00719609	0.00950221	0.00901501	0.0147455	0.0103737
FLPB			0.00970016	0.00961527	0.0122291	0.00994445	0.0125621	0.00810279	0.0105419	0.0100273	0.0160302	0.011456
TXSP				0.00790976	0.0102789	0.00821083	0.0105941	0.00654296	0.00875109	0.00828404	0.0138136	0.00959119
ALST					0.0101896	0.00813486	0.0105036	0.0064777	0.0086716	0.00820748	0.0137078	0.00950714
FLAB						0.0105311	0.0132523	0.00861275	0.0111538	0.0106183	0.0168298	0.0121005
FLCC							0.0108483	0.0067519	0.00898566	0.00851334	0.0140954	0.00983397
FLFD								0.0089109	0.0114772	0.0109365	0.0171998	0.012432
FLHB									0.00723753	0.00681587	0.0118923	0.00800684
FLSG										0.00906334	0.0148116	0.0104266
FLSI											0.0141984	0.00991606
TXCB												0.0158793
