	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		6.85896e-005	9.50452e-005	9.07257e-005	0.00013827	0.000107168	0.00021885	0.00089498	6.37899e-005	3.11915e-005	0.000222589	0.000222248
FLPB			8.24087e-005	6.66096e-005	0.000204518	9.46982e-005	0.000304002	0.000880468	6.41027e-005	6.00866e-005	0.000193622	0.000138285
TXSP				0.000426329	0.000150081	0.000351083	0.000266911	0.00273766	0.000175172	0.000104996	0.000120672	0.00043474
ALST					0.000152253	0.000366183	0.000280235	0.00299385	0.000173938	0.000104889	8.46524e-005	0.000428861
FLAB						0.000179998	0.000200382	0.000331811	0.000167144	0.000114604	0.000402596	0.000384656
FLCC							0.0002933	0.00235605	0.000168415	0.000113734	0.000148456	0.000384898
FLFD								0.00040615	0.000268763	0.00019406	0.000502347	0.00054955
FLHB									0.00144913	0.00100249	0.000398067	0.00274763
FLSG										5.95653e-005	0.000172686	0.000241578
FLSI											0.000215737	0.000244845
TXCB												0.000106179
