	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		1.02308	1	1	1.02308	1.01235	1.02778	0.98209	1.01449	1.01235	1.02833	1.02308
FLPB			1.01449	1.01449	1.02632	1.01739	1.0274	0.987461	1.02308	1.01739	1.03021	1.02632
TXSP				0.993548	1.01449	1	1.01739	0.98	1	1	1.02247	1.01449
ALST					1.01449	1	1.01739	0.98	1	1	1.02247	1.01449
FLAB						1.01739	1.0274	0.987461	1.02308	1.01739	1.03021	1.02632
FLCC							1.02703	0.976744	1.01235	1.00599	1.0303	1.01739
FLFD								0.993548	1.02778	1.02703	1.03774	1.0274
FLHB									0.98209	0.976744	1	0.987461
FLSG										1.01235	1.02833	1.02308
FLSI											1.0303	1.01739
TXCB												1.03021
