	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		0.0304187	0.021817	0.0238168	0.0346798	0.024826	0.0489179	0.0177226	0.0288167	0.0260118	0.0509413	0.0280614
FLPB			0.0238468	0.0259673	0.0374123	0.0270291	0.0523826	0.0195208	0.0312437	0.028285	0.0543987	0.0304236
TXSP				0.018345	0.0273193	0.0191891	0.0390895	0.0133768	0.0224484	0.0201435	0.0412586	0.0219311
ALST					0.0297155	0.0209869	0.0423527	0.0147296	0.0245003	0.0220219	0.0444589	0.0238977
FLAB						0.0308896	0.0591022	0.0224922	0.0356078	0.032306	0.0609888	0.0346167
FLCC							0.0438773	0.0154666	0.0255307	0.0229801	0.045974	0.0248963
FLFD								0.0326834	0.0501665	0.045796	0.0823573	0.0486389
FLHB									0.0182598	0.0162746	0.0349084	0.0178857
FLSG										0.0267468	0.0521646	0.0288287
FLSI											0.0478557	0.0260626
TXCB												0.0507225
