	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		0.0132105	0.0107533	0.0107084	0.0137984	0.0112846	0.0151528	0.00880885	0.0118974	0.0113566	0.0191628	0.012981
FLPB			0.0118558	0.011808	0.015059	0.0124149	0.0164824	0.00980441	0.0130592	0.0124914	0.0206482	0.0141923
TXSP				0.00951146	0.0123987	0.0100491	0.0136659	0.00774269	0.0106222	0.0101152	0.0174803	0.0116439
ALST					0.0123489	0.0100064	0.0136124	0.0077072	0.0105777	0.0100723	0.0174185	0.0115968
FLAB						0.0129761	0.0171752	0.010277	0.0136411	0.0130557	0.0214421	0.0148063
FLCC							0.0142787	0.00818442	0.0111489	0.0106282	0.0181728	0.0121959
FLFD								0.0114076	0.014984	0.0143642	0.0231961	0.0162118
FLHB									0.00869538	0.00824149	0.0149149	0.00962008
FLSG										0.0112201	0.0189685	0.012832
FLSI											0.0182715	0.0122712
TXCB												0.0203379
