	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		0.0223483	0.0166877	0.0178693	0.0299543	0.00699073	0.0351558	0.0139646	0.0116177	0.0202775	0.0352945	0.0211448
FLPB			0.0179321	0.0191641	0.0317051	0.00765062	0.0370872	0.0151035	0.0125267	0.0216685	0.0371755	0.0225541
TXSP				0.0141037	0.024282	0.0054281	0.0287118	0.0108269	0.00916517	0.0161137	0.029166	0.0169308
ALST					0.0259	0.00582684	0.0305674	0.011672	0.00982331	0.0172701	0.0309184	0.018101
FLAB						0.0103874	0.0486367	0.0207031	0.0168874	0.0291274	0.0481035	0.0300859
FLCC							0.0124509	0.00438333	0.00383512	0.00669912	0.013437	0.00722091
FLFD								0.0246681	0.0200018	0.0342383	0.0553247	0.0352435
FLHB									0.00756607	0.0134428	0.025289	0.0142233
FLSG										0.0112048	0.0206982	0.0118399
FLSI											0.0344043	0.0204891
TXCB												0.0354292
