PopID	ID	SVL	std.length	depth	SnoutLength	SountDepth	HeadLength	MBandArea	BandNum
FLKB	FLKBF01	46.667	104.063	5.613	7.32	2.066	15.682	0.350885117	16
FLKB	FLKBF02	46.133	105.449	5.999	6.328	2.088	16.799	0.472165591	16
FLKB	FLKBF04	43.774	97.667	5.156	6.756	1.958	13.609	0.307107406	17
FLKB	FLKBF05	48.044	106.055	5.773	6.082	2.072	15.989	0.687872901	15
FLKB	FLKBF06	50.598	115.61	6.237	7.282	2.476	15.945	0.514535352	19
FLKB	FLKBF07	41.573	91.331	5.239	6.033	1.926	13.79	0.304045725	16
FLKB	FLKBF09	44.27	98.674	5.222	6.64	1.976	14.174	0.254294988	17
FLKB	FLKBF10	44.576	98.006	4.976	7.083	2.075	14.355	0.37551858	16
FLKB	FLKBF11	39.458	86.317	4.566	6.347	1.893	13.159	0.222883816	16
FLKB	FLKBF13	41.6	92.545	5.286	5.79	1.995	12.818	0.347007667	15
FLKB	FLKBF14	43.023	93.006	5.249	6.755	1.779	14.139	0.453426705	18
FLKB	FLKBF15	37.678	90.199	3.884	6.229	1.753	13.048	0.155703754	13
FLKB	FLKBF16	44.081	96.395	5.429	7.019	1.899	14.608	0.362974153	15
FLKB	FLKBF17	46.884	102.465	4.712	7.762	1.973	16.059	0.365286851	16
FLKB	FLKBF18	44.65	107.024	5.557	6.235	2.242	14.024	0.445782898	15
FLKB	FLKBF19	46.586	104.655	5.569	6.498	1.772	14.256	0.298074083	16
FLKB	FLKBF20	43.83	97.916	4.777	6.32	1.78	14.822	0.358096867	15
FLKB	FLKBF21	40.701	89.957	4.689	5.845	1.713	13.547	0.2742336	15
FLKB	FLKBF22	44.605	97.83	5.07	6.499	1.958	14.046	0.293606312	15
FLKB	FLKBF23	40.441	90.731	4.021	6.147	1.904	13.595	0.270685899	15
FLKB	FLKBF24	40.958	87.621	4.722	6.862	1.749	14.981	0.280898631	15
FLPB	FLPBDB02	41.276	97.576	4.006	5.775	1.742	12.464	0.597971266	15
FLPB	FLPBDB03	40.397	93.059	4.305	6.408	1.905	12.987	0.345617624	14
FLPB	FLPBDB04	37.712	88.596	3.668	5.588	1.569	11.716	0.149576627	13
FLPB	FLPBDB05	35.928	88.811	3.48	4.911	1.81	11.091	0.249401732	14
FLPB	FLPBDB06	36.464	83.925	3.675	5.05	1.358	11.643	0.301896948	14
FLPB	FLPBDB07	38.612	89.052	4.03	5.259	1.455	12.148	0.269769055	14
FLPB	FLPBDB08	39.884	89.9	3.95	5.709	1.621	12.155	0.27475406	15
FLPB	FLPBDB09	39.078	93.899	4.016	5.263	1.569	11.776	0.297432801	15
FLPB	FLPBDB10	37.064	87.316	3.883	5.483	1.538	11.847	0.283971333	15
FLPB	FLPBF01	45.089	97.755	5.657	6.289	2.127	14.179	0.511622488	20
FLPB	FLPBF02	44.262	99.546	5.508	6.483	2.03	13.146	0.42575965	17
FLPB	FLPBF03	40.295	90.938	4.284	5.858	1.724	12.89	0.216123576	13
FLPB	FLPBF04	42.756	101.034	4.856	6.818	1.857	13.879	0.327744666	16
FLPB	FLPBF05	37.718	94.025	3.776	5.232	1.597	11.671	0.256277949	15
FLPB	FLPBF06	38.384	90.942	4.24	5.432	1.317	12.383	0.317874906	17
FLPB	FLPBF07	40.232	81.882	4.01	6.297	1.516	13.425	0.266257213	16
FLPB	FLPBF08	40.844	96.546	5.025	5.764	1.524	13.669	0.522245629	18
FLPB	FLPBF10	47.724	111.158	5.415	6.808	1.812	16.308	0.51704939	14
FLPB	FLPBF12	40.397	94.097	4.585	5.958	1.8	12.834	0.499999478	18
TXSP	TXSPDB02	37.742	85.185	3.612	5.542	1.686	12.238	0.532113637	16
TXSP	TXSPDB03	37.539	80.871	3.825	5.081	1.611	13.257	0.395176279	15
TXSP	TXSPDB04	36.71	83.451	3.093	4.758	1.793	11.606	0.335487842	14
TXSP	TXSPF01	42.346	87.581	3.842	5.533	1.702	13.855	0.747141319	23
TXSP	TXSPF02	41.995	90.648	3.957	6.111	1.78	13.223	0.749851264	20
TXSP	TXSPF03	38.853	87.048	3.738	5.473	1.87	12.348	0.524296132	20
TXSP	TXSPF04	45.424	100.019	4.207	5.658	1.964	13.594	0.648202746	20
TXSP	TXSPF05	37.615	80.58	3.535	5.076	1.927	13.444	0.422974441	19
TXSP	TXSPF06	42.119	92.845	3.687	5.607	1.867	12.797	0.422116484	20
TXSP	TXSPF07	40.358	90.026	3.579	5.038	1.997	12.288	0.323427748	19
TXSP	TXSPF08	32.271	70.272	2.389	4.05	1.408	10.05	0.320694012	17
TXSP	TXSPF09	41.245	93.18	4.557	5.678	1.976	12.823	0.596466147	21
TXSP	TXSPF10	41.835	89.02	3.369	5.652	1.455	13.131	0.48185485	21
TXSP	TXSPF11	36.352	79.943	3.736	5.211	1.625	11.817	0.108462551	15
TXSP	TXSPF12	46.14	101.915	4.886	5.75	1.895	14.013	0.734620727	19
TXSP	TXSPF13	44.265	95.604	4.885	5.739	2.033	12.963	0.426533573	19
TXSP	TXSPF14	42.586	97.072	4.313	5.644	1.782	12.431	0.524335981	18
TXSP	TXSPF15	40.096	86.499	3.691	4.906	1.753	12.21	0.414776044	19
TXSP	TXSPF16	42.022	90.583	5.112	5.771	1.544	13.296	0.529113452	23
TXSP	TXSPF17	42.585	94.658	4.129	5.549	1.836	12.917	0.526944685	20
TXSP	TXSPF18	39.883	85.404	4.413	5.445	1.803	12.771	0.397443501	20
TXSP	TXSPF19	41.387	92.404	3.916	4.971	1.647	11.592	0.333646532	17
TXSP	TXSPF20	39.77	84.638	3.375	4.951	2.019	12.349	0.401187213	21
ALST	ALSTF01	41.614	87.551	4.365	6.74	1.74	13.773	0.346149	16
ALST	ALSTF02	39.791	88.432	4.86	6.188	1.628	12.317	0.370379	17
ALST	ALSTF04	41.905	91.615	4.511	6.875	1.842	13.855	0.282011	16
ALST	ALSTF05	39.645	86.327	5.129	6.757	1.647	13.005	0.368372	15
ALST	ALSTF06	40.68	89.428	4.654	6.012	1.409	12.292	0.283959	15
ALST	ALSTF07	40.754	87.87	4.069	6.283	1.775	12.958	0.15266	14
ALST	ALSTF08	38.268	80.107	3.938	5.454	1.543	11.448	0.276054	13
ALST	ALSTF09	37.433	81.804	4.829	5.993	1.613	12.307	0.294626	15
ALST	ALSTF10	40.955	90.668	5.169	6.536	1.635	13.772	0.373298	17
ALST	ALSTF11	39.566	88.308	5.234	6.406	1.887	12.439	0.45502	20
ALST	ALSTF12	42.558	94.407	5.303	7.178	1.777	13.971	0.444245	16
ALST	ALSTF13	38.983	91.114	5.195	6.307	2.002	13.372	0.351895	16
ALST	ALSTF14	40.772	91.909	5.096	6.339	1.618	13.158	0.300786134	17
ALST	ALSTF15	40.763	88.218	4.442	6.026	1.701	12.748	0.224103	15
ALST	ALSTF16	39.391	88.748	4.28	6.613	1.838	13.436	0.298723	14
ALST	ALSTF17	40.012	91.659	5.119	6.69	2.2	13.428	0.392247	17
ALST	ALSTF18	40.832	91.34	4.611	6.51	1.611	12.46	0.372475	17
ALST	ALSTF19	37.572	83.164	3.71	5.842	1.48	12.454	0.279727	15
ALST	ALSTF20	42.754	98.454	5.389	7.197	1.877	14.111	0.375954	17
ALST	ALSTF21	36.705	81.851	4.328	5.506	1.565	11.98	0.287559	16
ALST	ALSTF22	40.81	92.482	5.605	7.121	1.97	14.092	0.479628	18
ALST	ALSTF23	39.415	91.389	4.813	5.913	1.59	12.456	0.245	15
ALST	ALSTF24	38.842	88.86	5.061	5.993	1.622	12.495	0.349755	14
FLAB	FLABF10	56.127	133.624	7.556	7.446	2.342	17.575	1.762605408	17
FLAB	FLABF11	50.828	116.984	7.057	6.29	2.396	14.616	0.962849917	15
FLAB	FLABF12	49.11	112.252	6.857	6.236	1.746	14.463	0.928629252	17
FLAB	FLABF13	53.659	121.68	7.512	7.383	1.984	16.717	1.445281569	16
FLAB	FLABF14	53.837	121.835	7.118	7.682	2.046	17.158	0.710411077	18
FLAB	FLABF16	49.517	115.664	6.765	7.099	1.859	15.398	0.869780229	18
FLAB	FLABF17	49.821	109.324	6.497	7.255	2.522	15.998	0.951655382	14
FLAB	FLABF18	48.1	105.818	6.874	6.194	2.048	14.215	0.704779754	17
FLAB	FLABF19	39.076	90.103	5.161	6.485	1.703	13.298	0.786127014	15
FLAB	FLABF01	48.96	112.85	5.749	5.061	2.26	12.079	0.783284061	15
FLAB	FLABF20	52.504	115.094	6.988	7.215	2.353	16.505	0.35646068	14
FLAB	FLABF21	52.99	113.939	7.439	6.746	2.263	15.897	0.872297234	15
FLAB	FLABF22	57.78	131.196	7.904	7.317	2.102	16.706	0.708176161	15
FLAB	FLABF02	47.639	109.823	5.732	6.918	1.919	14.713	1.148788455	15
FLAB	FLABF03	46.421	104.195	5.55	5.971	1.938	14.055	0.745966769	15
FLAB	FLABF04	54.64	128.426	7.527	7.553	2.578	17.231	1.109900231	19
FLAB	FLABF06	50.822	109.223	6.275	6.621	2.045	14.865	0.707858378	14
FLAB	FLABF07	53.766	125.008	7.362	7.679	2.502	17.327	2.175116235	16
FLAB	FLABF08	47.946	111.32	7.412	7.089	2.376	16.08	1.730075609	14
FLCC	FLCCDB01	36.509	84.82	3.811	5.579	1.657	12.052	0.24512086	12
FLCC	FLCCDB02	38.217	84.174	3.449	6.451	1.775	13.307	0.138799626	15
FLCC	FLCCDB06	39.237	94.348	3.664	6.232	1.672	12.015	0.278689284	14
FLCC	FLCCDB07	38.919	78.664	3.766	6.592	1.492	14.256	0.13372894	14
FLCC	FLCCF11	48.941	103.168	5.509	7.977	2.388	18.141	0.194579655	15
FLCC	FLCCF12	46.174	103.384	4.262	6.861	2.172	14.273	0.199141753	14
FLCC	FLCCF13	44.953	94.297	4.614	6.337	1.973	14.376	0.135815403	14
FLCC	FLCCF14	38.439	86.412	4.005	5.423	1.876	12.486	0.151475048	17
FLCC	FLCCF15	45.847	101.333	4.531	6.679	2.051	14.597	0.119501992	15
FLCC	FLCCF16	31.444	69.578	3.085	4.915	1.307	10.784	0.263364873	18
FLCC	FLCCF17	39.851	88.187	3.755	5.897	1.718	12.867	0.159894073	18
FLCC	FLCCF18	40.033	92.153	4.861	6.559	1.943	13.547	0.344140817	14
FLCC	FLCCF19	36.086	81.648	3.758	4.939	1.773	11.252	0.203690189	15
FLCC	FLCCF01	44.972	100.583	4.491	6.319	1.781	14.032	0.26940498	18
FLCC	FLCCF20	40.99	91.207	4.449	6.448	1.958	14.195	0.162628726	14
FLCC	FLCCF21	37.144	85.05	3.689	5.679	1.68	12.823	0.216498856	15
FLCC	FLCCF22	36.942	83.31	3.503	5.931	1.526	12.156	0.158291057	14
FLCC	FLCCF03	42.79	92.058	5.125	6.956	1.633	15.396	0.225433153	15
FLCC	FLCCF04	38.687	85.963	3.677	6.138	1.725	13.349	0.447657797	15
FLCC	FLCCF05	33.521	77.624	3.897	5.094	1.789	11.199	0.336943308	16
FLCC	FLCCF08	38.601	89.403	3.603	5.75	1.762	12.366	0.192684303	15
FLCC	FLCCF09	37.557	83.083	4.115	5.498	1.66	12.472	0.139390921	15
FLFD	FLFDF10	58.838	127.233	7.106	9.344	2.746	18.581	0.352660498	15
FLFD	FLFDF11	52.217	121.03	7.121	9.083	2.753	17.776	0.681261377	19
FLFD	FLFDF13	49.14	110.153	6.649	7.57	2.279	16.084	0.27970734	19
FLFD	FLFDF14	45.542	108.492	5.365	7.445	1.938	15.082	0.624533921	17
FLFD	FLFDF15	50.424	114.911	6.817	8.229	2.523	16.323	0.665414368	15
FLFD	FLFDF16	52.232	114.862	7.398	8.683	2.258	19.083	0.418186053	16
FLFD	FLFDF17	46.415	106.568	5.991	7.109	2.098	14.56	0.346724816	15
FLFD	FLFDF18	58.606	126.604	6.774	7.948	2.378	17.636	0.726411455	16
FLFD	FLFDF01	79.04	128.378	6.024	8.912	2.455	18.065	0.926610943	15
FLFD	FLFDF20	62.685	138.485	8.87	9.129	2.739	17.907	0.735908058	17
FLFD	FLFDF23	61.867	134.247	7.468	10.33	2.797	20.718	1.014456471	17
FLFD	FLFDF02	59.54	128.311	8.284	9.335	2.47	18.338	1.201581823	17
FLFD	FLFDF04	55.099	121.351	8.79	8.933	2.564	17.915	0.522199159	15
FLFD	FLFDF05	58.352	130.951	7.539	8.019	2.745	16.906	0.675801722	15
FLFD	FLFDF06	53.961	121.207	7.662	8.262	2.678	16.682	0.713268929	17
FLFD	FLFDF07	49.259	113.841	6.608	7.15	2.235	15.525	0.434653739	15
FLFD	FLFDF08	56.856	126.712	8.616	8.621	1.943	18.195	0.861401716	15
FLFD	FLFDF09	47.249	106.072	6.047	6.952	1.797	15.446	0.493436841	14
FLHB	FLHBDB01	40.723	89.616	3.793	6.13	1.863	12.638	0.307430028	15
FLHB	FLHBDB02	40.317	92.385	3.779	5.543	1.582	12.469	0.246731004	12
FLHB	FLHBDB03	42.404	93.678	4.236	6.326	1.703	13.217	0.41399023	10
FLHB	FLHBDB04	39.512	91.388	4.117	6.221	1.793	12.987	0.303506093	13
FLHB	FLHBDB05	35.357	79.632	3.946	5.23	1.334	11.464	0.198219801	15
FLHB	FLHBDB06	36.903	83.667	3.613	5.916	1.564	12.484	0.312887141	13
FLHB	FLHBDB07	37.39	85.412	3.794	5.783	1.682	12.526	0.243355266	11
FLHB	FLHBDB08	36.306	87.007	3.885	5.418	1.422	11.555	0.231449466	14
FLHB	FLHBF10	43.069	97.637	5.709	6.404	1.808	15.933	0.381758453	14
FLHB	FLHBF11	45.771	101.338	5.378	6.515	1.77	14.268	0.377360513	18
FLHB	FLHBF12	42.86	96.127	5.31	6.967	1.723	14.297	0.345716035	18
FLHB	FLHBF13	38.304	83.93	4.558	5.834	1.932	12.428	0.297392897	17
FLHB	FLHBF14	44.884	100.181	6.593	6.783	2.082	14.748	0.344459545	18
FLHB	FLHBF15	44.807	101.929	4.93	7.147	2.009	14.323	0.320203932	16
FLHB	FLHBF16	37.486	86.861	4.59	4.912	1.533	11.256	0.305352111	14
FLHB	FLHBF17	41.862	93.723	5.317	5.95	1.789	12.816	0.540922593	16
FLHB	FLHBF18	37.959	86.175	4.879	5.059	2.113	12.126	0.231783521	18
FLHB	FLHBF01	42.7	96.429	5.654	5.698	1.746	13.179	0.493620872	18
FLHB	FLHBF20	35.001	80.558	4.51	5.464	1.377	11.691	0.374325952	17
FLHB	FLHBF21	47.092	107.226	5.422	6.731	2.138	15.052	0.374647011	16
FLHB	FLHBF22	39.49	88.732	4.306	6.258	1.598	13.348	0.214119609	14
FLHB	FLHBF23	35.525	80.417	3.955	5.074	1.766	11.717	0.276343514	17
FLHB	FLHBF02	41.057	92.513	5.745	6.023	1.635	13.488	0.270564669	17
FLHB	FLHBF03	37.388	84.864	4.856	5.438	1.805	11.588	0.301100004	16
FLHB	FLHBF04	33.788	77.789	3.624	5.874	1.631	11.725	0.203968043	14
FLHB	FLHBF06	33.853	76.397	3.92	5.769	1.684	12.02	0.196235361	15
FLHB	FLHBF08	40.932	90.158	4.676	5.727	1.528	12.579	0.304388734	15
FLHB	FLHBF09	40.363	92.373	5.106	6.556	1.724	13.605	0.382918918	17
FLSG	FLSGF10	44.487	96.272	5.024	7.439	1.975	15.105	0.425730744	18
FLSG	FLSGF11	40.403	89.829	4.805	5.96	1.861	13.052	0.428065066	17
FLSG	FLSGF12	41.425	89.225	4.836	7.523	1.702	14.183	0.46584723	18
FLSG	FLSGF13	37.657	85.964	4.449	6.278	1.658	12.866	0.484275274	15
FLSG	FLSGF14	40.979	88.941	5.168	6.767	1.953	15.147	0.935259726	16
FLSG	FLSGF15	38.05	86.233	3.825	5.93	1.667	12.943	0.175677605	10
FLSG	FLSGF16	40.159	87.051	4.257	6.574	1.661	13.734	0.278836745	16
FLSG	FLSGF17	45.251	99.352	5.76	6.618	1.826	15.83	0.640383267	21
FLSG	FLSGF18	42.684	96.75	4.771	7.482	1.876	14.66	0.271909328	16
FLSG	FLSGF19	32.808	74.297	3.479	5.62	1.551	11.673	0.99566552	16
FLSG	FLSGF01	49.662	111.585	6.345	7.35	2.355	16.52	0.332286031	18
FLSG	FLSGF20	35.107	80.713	3.268	5.966	1.675	11.763	0.182277763	16
FLSG	FLSGF21	37.152	84.195	3.472	6.571	1.628	12.771	0.165682923	14
FLSG	FLSGF02	41.136	90.516	5.419	6.808	1.604	14.826	0.284074983	17
FLSG	FLSGF03	46.646	101.133	5.114	8.35	1.922	17.447	0.585136129	17
FLSG	FLSGF04	41.868	92.32	5.124	7.418	2.135	14.457	0.426958705	16
FLSG	FLSGF05	44.372	97.448	4.792	7.483	1.911	15.239	0.581216127	15
FLSG	FLSGF06	40.886	88.366	3.947	6.996	1.67	15.518	0.251439812	14
FLSG	FLSGF07	40.51	90.761	5.154	6.304	1.6811	13.692	0.410091817	17
FLSG	FLSGF08	39.872	88.675	4.293	6.898	1.742	14.112	0.305958148	15
FLSG	FLSGF09	38.464	86.239	4.074	6.981	1.82	14.022	0.317632502	16
FLSI	FLSIF10	41.806	94.663	6.227	5.638	1.574	13.16	0.419240041	15
FLSI	FLSIF11	44.562	101.26	5.746	6.433	1.678	13.979	0.270674002	15
FLSI	FLSIF12	43.139	94.232	5.376	6.215	1.923	12.881	0.374065077	14
FLSI	FLSIF13	45.46	101.703	6.084	6.736	1.764	15.787	0.444631237	16
FLSI	FLSIF14	44.566	99.298	5.394	6.515	1.978	15.157	0.32751167	14
FLSI	FLSIF15	44.654	102.267	5.675	6.735	1.802	14.56	0.415091002	15
FLSI	FLSIF16	45.4109	102.396	4.804	7.112	1.821	14.982	0.361889631	16
FLSI	FLSIF17	45.758	105.276	5.497	6.376	1.82	14.42	0.486643488	19
FLSI	FLSIF01	46.821	106.496	6.347	6.394	1.841	15.429	0.421524133	14
FLSI	FLSIF20	45.875	99.742	5.801	7.34	1.815	15.198	0.293652734	19
FLSI	FLSIF21	43.083	98.473	5.268	6.491	1.867	13.915	0.237071304	15
FLSI	FLSIF22	47.606	104.592	6.153	7.469	1.941	17.591	0.375877789	18
FLSI	FLSIF23	45.014	100.773	5.684	7.295	2.121	15.102	0.348733251	18
FLSI	FLSIF24	43.084	96.164	4.848	5.96	2.057	13.715	0.138188643	15
FLSI	FLSIF02	45.171	100.913	5.206	7.283	1.944	15.004	0.316974199	15
FLSI	FLSIF03	44.119	101.751	5.157	6.364	1.98	13.918	0.328538426	15
FLSI	FLSIF04	45.372	102.181	5.217	6.919	2.167	14.327	0.383967468	15
FLSI	FLSIF05	42.596	97.806	4.9165	5.686	1.677	13.095	0.267095871	15
