PopID	ID	SVL	std.length	depth	SnoutLength	SountDepth	HeadLength
FLKB	FLKBP01	35.924	82.693	4.006	5.832	1.85	12.632
FLKB	FLKBP02	35.99	83.52	3.739	5.26	1.314	11.426
FLKB	FLKBP03	36.54	87.283	3.99	5.818	1.431	12.272
FLKB	FLKBP06	34.9016	78.381	3.255	5.201	1.483	11.406
FLKB	FLKBP07	39.079	91.035	4.369	5.105	1.329	11.843
FLKB	FLKBP08	31.337	73.724	3.085	4.797	1.445	10.23
FLKB	FLKBP09	30.479	72.525	3.367	4.984	1.457	10.454
FLKB	FLKBP10	34.946	80.912	3.699	5.577	1.58	12.12
FLKB	FLKBP11	33.879	79.319	3.676	5.716	1.495	11.911
FLKB	FLKBP12	35.093	81.107	3.435	4.946	1.574	11.235
FLKB	FLKBP13	32.567	74.32	3.051	4.971	1.425	10.612
FLKB	FLKBP14	36.275	81.341	3.753	5.005	1.57	12.007
FLKB	FLKBP15	31.259	71.193	2.932	4.381	1.381	10.175
FLKB	FLKBP16	42.183	105.657	5.208	6.443	2.102	15.037
FLKB	FLKBP17	31.268	70.364	2.641	4.962	1.571	10.777
FLKB	FLKBP18	32.812	74.734	3.271	5.405	1.395	11.069
FLKB	FLKBP19	41.022	100.706	4.747	6.412	2.101	13.609
FLKB	FLKBP20	32.147	74.596	3.356	5.227	1.477	10.612
FLKB	FLKBP22	35.158	80.52	3.738	5.466	1.67	11.71
FLKB	FLKBP23	41.235	95.339	4.138	5.382	1.937	12.532
FLKB	FLKBP24	32.672	74.887	2.906	5.332	1.209	10.93
FLPB	FLPBNP01	32.157	81.932	3.18	4.562	1.308	10.391
FLPB	FLPBP01	31.28	75.329	3.164	4.627	1.247	10.746
FLPB	FLPBP02	28.898	71.873	2.797	4.345	1.119	9.711
FLPB	FLPBP03	29.507	69.208	2.539	3.936	1.156	8.682
FLPB	FLPBP04	30.321	73.434	2.846	4.137	1.162	9.874
FLPB	FLPBP05	27.047	68.58	2.285	3.953	1.124	8.876
FLPB	FLPBP06	33.3	76.313	3.096	4.27	1.445	9.94
FLPB	FLPBP07	33.57	78.07	3.053	4.889	1.528	10.696
FLPB	FLPBP08	29.686	70.51	2.755	3.701	1.169	9.058
FLPB	FLPBP09	31.525	73.155	3.275	4.392	1.289	10.048
FLPB	FLPBP10	29.688	69.077	2.485	4.265	1.017	9.59
FLPB	FLPBP12	31.038	76.437	3.574	4.118	1.536	9.759
FLPB	FLPBP13	30.752	73.125	2.823	4.389	1.529	9.436
FLPB	FLPBP14	34.554	83.672	2.997	5.483	1.265	11.093
FLPB	FLPBP16	32.991	83.898	3.508	5.306	1.455	11.831
FLPB	FLPBP17	32.783	74.926	3.109	4.236	1.363	10.106
FLPB	FLPBP18	37.417	87.51	4.209	5.288	1.585	11.959
FLPB	FLPBP19	38.886	92.175	4.202	5.251	2.223	12.019
FLPB	FLPBP20	37.144	90.205	3.892	5.409	1.595	12.008
TXSP	TXSPP01	45.739	70.818	3.566	4.51	1.466	10.834
TXSP	TXSPP02	31.766	74.388	3.989	3.806	1.512	10.648
TXSP	TXSPP03	29.037	68.74	3.983	4.411	1.782	10.011
TXSP	TXSPP04	30.715	65.678	3.357	3.645	1.344	10.557
TXSP	TXSPP05	37.71	94.643	4.593	4.939	1.693	12.808
TXSP	TXSPP06	35.097	81.653	3.76	4.271	1.816	12.041
TXSP	TXSPP07	27.193	64.393	2.875	3.975	1.303	9.844
TXSP	TXSPP08	27.528	62.524	2.859	3.835	1.374	9.407
TXSP	TXSPP09	32.584	74.271	3.191	4.003	1.358	10.178
TXSP	TXSPP10	34.98	83.866	3.709	4.8	1.842	10.798
TXSP	TXSPP11	33.129	79.138	4.01	3.885	1.515	9.971
TXSP	TXSPP12	26.53	63.695	3.122	3.66	1.321	9.003
TXSP	TXSPP13	32.293	76.088	3.795	3.94	1.078	9.945
TXSP	TXSPP14	26.214	64.749	2.549	3.319	1.239	8.222
TXSP	TXSPP16	28.976	67.35	2.951	4.17	1.236	10.408
TXSP	TXSPP17	28.451	67.697	3.08	3.57	1.097	8.761
TXSP	TXSPP18	31.553	74.673	3.76	4.066	1.653	10.209
TXSP	TXSPP19	33.363	80.281	3.559	4.663	1.555	11.911
TXSP	TXSPP20	33.585	76.364	3.902	4.218	1.545	10.116
