	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		0.00010013	9.53646e-005	9.51281e-005	8.11205e-005	0.000108199	7.90556e-005	9.59812e-005	9.90794e-005	8.63117e-005	0.000123181	0.000117875
FLPB			0.000104826	0.000104574	9.33119e-005	0.000117331	9.13964e-005	0.000116793	0.000108548	9.77102e-005	0.000128984	0.000124082
TXSP				9.79639e-005	9.04062e-005	0.000112813	8.89365e-005	0.000125782	0.000103491	9.29946e-005	0.000125449	0.000118068
ALST					9.02397e-005	0.000112475	8.87871e-005	0.000125672	0.000103207	9.27623e-005	0.000125217	0.000117735
FLAB						0.000101885	6.65946e-005	6.36777e-005	9.26065e-005	7.72006e-005	0.000119061	0.000115972
FLCC							9.99693e-005	0.000140248	0.000117112	0.000106058	0.000135656	0.000131516
FLFD								5.67818e-005	9.0777e-005	7.50202e-005	0.000117436	0.000114806
FLHB									0.000120932	8.85135e-005	0.000151179	0.000167285
FLSG										9.66238e-005	0.000128737	0.00012329
FLSI											0.000122037	0.000116893
TXCB												0.00013806
